step,mean reward,std reward
10000,6.752486,15.597193265987887
30000,14.616382900000001,32.625430443517196
50000,14.988730600000002,14.197437099134275
110000,15.315069099999999,12.179155344302153
120000,17.8416834,14.994623205510324
140000,18.5132706,12.57866908706512
150000,30.3322032,10.445433740899224
160000,18.8778244,22.565339473450233
180000,7.990900199999999,21.350921188783484
200000,23.5710352,15.516878927606628
250000,4.318312199999999,11.28937090572371
260000,18.1297128,25.893430947249445
280000,30.3067464,23.891834065251267
370000,30.604041700000003,14.325188270844972
390000,34.1591449,6.757873298564076
540000,69.6411557,138.6602359731929
650000,122.5864614,196.3772988989655
670000,175.34061739999999,203.653010116164
720000,230.05947360000005,236.72571883717595
780000,518.3135643999999,11.646300434377576
1400000,537.1500775,4.304586399382259
